customer_id,committed_exposure_global,utilized_exposure_global,line_reported_on_fr_y_9c,credit_facility_currency,country,origination_date,obligor_internal_risk_rating
CUST6026,27261,8792,2,EUR,IN,2024-02-10,1
CUST6997,80914,1663,2,AYUSH,DE,2025-03-01,1
CUST3796,45144,2696,4,USD,DE,2024-04-24,1
CUST4544,81461,2721,9,USD,US,2022-09-30,3
CUST8192,85431,5424,6,EUR,US,2024-09-07,3
CUST4320,50217,1602,0,EUR,DE,2022-08-31,3
CUST4142,72046,1615,5,INR,US,202305-06,5
CUST4493,86441,3111,5,INR,US,2022-10-31,3
CUST4719,34362,100,8,INR,UK,2023-03-02,2
CUST3529,79039,9260,2,INR,DE,2022-09-08,1
CUST2426,45639,5935,1,INR,IN,2024-03-21,1
CUST5872,85326,5220,4,INR,DE,2024-08-23,2
CUST1992,62102,1627,2,EUR,DE,2024-07-01,2
CUST6417,32912,7937,0,USD,IN,2022-08-03,2
CUST2582,11112,1522,9,USD,UK,2025-01-30,3
CUST6975,85127,5176,6,EUR,UK,2022-11-20,4
CUST5598,63699,4546,3,INR,DE,2024-08-06,5
CUST8126,57880,5084,8,EUR,IN,2022-11-24,5
CUST1528,46120,9212,6,INR,US,2024-03-03,1
CUST7339,91257,9572,3,INR,UK,2024-02-13,1
CUST9926,59498,5845,6,INR,US,2022-12-19,1
CUST5371,38475,3728,3,EUR,UK,2025-03-02,3
CUST3312,8575,5095,7,INR,DE,2024-05-06,3
CUST3094,61325,7690,4,USD,DE,2024-07-05,5
CUST3445,24385,3247,8,EUR,DE,2024-02-10,1
CUST7911,76811,7785,5,USD,UK,2024-08-01,5
CUST7400,70768,6040,1,INR,US,2023-06-08,4
CUST1752,83215,3629,0,EUR,US,2022-08-16,1
CUST2741,88782,9665,6,EUR,IN,2024-02-13,5
CUST9002,84776,5906,6,USD,IN,2022-12-18,2
CUST5718,62294,4904,7,USD,IN,2022-11-15,2
CUST8304,61172,9810,0,USD,UK,2024-01-19,1
CUST5710,86827,5831,0,INR,IN,2023-06-01,1
CUST1304,13692,7066,9,INR,IN,2024-04-23,2
CUST4368,61314,6025,5,EUR,DE,2023-10-21,2
CUST2000,32750,6752,0,INR,DE,2024-03-18,2
CUST3284,27983,711,9,EUR,UK,2023-04-07,5
CUST4554,48094,5823,1,USD,UK,2022-07-31,2
